,rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,avg_price,revenue
961,1067,WCW/NWO Thunder,ps,1998,fighting,THQ,1.1,0.48,0.04,0.07,1.69,15.92,26904799.999999996
962,1068,Harry Potter and the Sorcerer's Stone,gba,2001,action,Electronic Arts,0.87,0.66,0.08,0.08,1.69,17.94,30318600.0
963,1069,Need For Speed: Undercover,x360,2008,racing,Electronic Arts,0.79,0.71,0.01,0.18,1.69,11.94,20178600.0
964,1070,Dragon Ball Z: The Legacy of Goku,gba,2002,role-playing,Infogrames,1.52,0.12,0.0,0.05,1.69,17.94,30318600.0
965,1071,Sid Meier's Civilization V,pc,2010,strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69,13.28,22443199.999999996
966,1072,Resident Evil 4,gc,2005,action,Capcom,0.98,0.42,0.22,0.06,1.69,33.64,56851600.0
967,1073,Call of Duty Black Ops: Declassified,psv,2012,action,Activision,0.8,0.52,0.07,0.3,1.69,46.26,78179400.0
968,1074,Star Wars Battlefront: Renegade Squadron,psp,2007,shooter,LucasArts,0.9,0.47,0.0,0.32,1.68,16.18,27182399.999999996
969,1076,NFL GameDay 98,ps,1997,sports,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68,15.92,26745600.0
970,1077,LEGO Batman 2: DC Super Heroes,x360,2012,action,Warner Bros. Interactive Entertainment,0.9,0.64,0.0,0.15,1.68,11.94,20059199.999999996
971,1078,Yoshi's Cookie,gb,1992,puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68,26.29,44167199.99999999
972,1079,Time Crisis,ps,1997,shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,15.92,26745600.0
973,1080,The Sims: Superstar,pc,2003,simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68,13.28,22310399.999999996
974,1081,Star Wars The Clone Wars: Lightsaber Duels,wii,2008,action,LucasArts,1.23,0.3,0.0,0.14,1.68,10.18,17102400.0
975,1082,MySims,wii,2007,simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68,10.18,17102400.0
976,1083,Metroid Fusion,gba,2002,action,Nintendo,1.18,0.27,0.17,0.06,1.68,17.94,30139200.000000004
977,1084,Shaun White Snowboarding: Road Trip,wii,2008,sports,Ubisoft,0.94,0.57,0.0,0.17,1.67,10.18,17000600.0
978,1085,SSX 3,ps2,2003,sports,Electronic Arts,0.93,0.52,0.0,0.22,1.67,13.45,22461499.999999996
979,1086,Big Beach Sports,wii,2008,sports,THQ,0.45,1.02,0.0,0.2,1.67,10.18,17000600.0
980,1087,Madden NFL 2001,ps,2000,sports,Electronic Arts,1.58,0.05,0.0,0.04,1.67,15.92,26586399.999999996
981,1088,Fight Night Round 3,ps3,2006,fighting,Electronic Arts,0.81,0.59,0.01,0.26,1.67,14.67,24498900.0
982,1089,Knack,ps4,2013,platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67,22.21,37090700.0
983,1090,Star Wars: Battlefront II,xb,2005,shooter,Activision,1.22,0.39,0.0,0.06,1.67,9.99,16683300.0
984,1091,Disney's DuckTales,nes,1989,platform,Capcom,0.91,0.3,0.42,0.04,1.67,41.56,69405200.00000001
985,1092,Tony Hawk's Pro Skater 3,ps,2001,sports,Activision,1.09,0.49,0.02,0.07,1.67,15.92,26586399.999999996
986,1093,"Monsters, Inc.",gba,2001,adventure,THQ,0.59,0.95,0.03,0.1,1.67,17.94,29959800.0
987,1094,StarCraft II: Heart of the Swarm,pc,2013,strategy,Activision,0.82,0.65,0.0,0.19,1.67,13.28,22177600.0
988,1095,PGR: Project Gotham Racing 2,xb,2003,racing,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67,9.99,16683300.0
989,1096,Spy Hunter,ps2,2001,racing,Midway Games,1.13,0.32,0.0,0.22,1.67,13.45,22461499.999999996
990,1097,NCAA Football 2004,ps2,2003,sports,Electronic Arts,1.35,0.09,0.0,0.23,1.67,13.45,22461499.999999996
991,1098,SpongeBob SquarePants: Battle for Bikini Bottom,ps2,2003,platform,THQ,1.08,0.45,0.0,0.14,1.67,13.45,22461499.999999996
992,1099,Dying Light,ps4,2015,action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66,22.21,36868600.0
993,1100,Heavenly Sword,ps3,2007,action,Sony Computer Entertainment,0.57,0.73,0.06,0.3,1.66,14.67,24352200.0
994,1101,Street Fighter II': Special Champion Edition,gen,1992,fighting,Sega,1.0,0.3,0.31,0.04,1.66,18.96,31473600.0
995,1102,SSX,ps2,2000,sports,Electronic Arts,0.78,0.61,0.06,0.2,1.66,13.45,22327000.0
996,1103,Max Payne 3,x360,2012,shooter,Take-Two Interactive,0.86,0.64,0.01,0.14,1.66,11.94,19820400.0
997,1104,NBA Ballers,ps2,2004,sports,Midway Games,0.81,0.63,0.0,0.21,1.66,13.45,22327000.0
998,1105,Need for Speed Carbon,x360,2006,racing,Electronic Arts,0.76,0.7,0.02,0.18,1.66,11.94,19820400.0
999,1106,NBA Live 2003,ps2,2002,sports,Electronic Arts,1.25,0.15,0.03,0.22,1.66,13.45,22327000.0
1000,1107,Dragon Ball Z: Budokai Tenkaichi,ps2,2005,fighting,Atari,0.96,0.12,0.54,0.04,1.66,13.45,22327000.0
1001,1108,Ms. Pac-Man,2600,1981,puzzle,Atari,1.54,0.1,0.0,0.02,1.65,34.46,56859000.0
1002,1110,Super Scope 6,snes,1991,shooter,Nintendo,1.06,0.38,0.15,0.05,1.65,45.28,74712000.0
1003,1112,Dragon Quest V: Tenkuu no Hanayome,ps2,2004,role-playing,Enix Corporation,0.0,0.0,1.65,0.0,1.65,13.45,22192500.0
1004,1113,Army of Two,x360,2008,shooter,Electronic Arts,1.09,0.38,0.02,0.16,1.65,11.94,19700999.999999996
1005,1114,Dragon Quest IV: Chapters of the Chosen,ds,2007,role-playing,Square Enix,0.32,0.02,1.27,0.03,1.64,12.99,21303600.0
1006,1115,Kirby & the Amazing Mirror,gba,2004,platform,Nintendo,0.8,0.05,0.76,0.03,1.64,17.94,29421600.0
1007,1116,LEGO Pirates of the Caribbean: The Video Game,wii,2011,action,Disney Interactive Studios,0.76,0.72,0.0,0.16,1.64,10.18,16695200.0
1008,1117,Dig Dug,2600,1982,puzzle,Atari,1.52,0.1,0.0,0.02,1.64,34.46,56514399.99999999
1009,1118,Tom Clancy's Rainbow Six,ps,1999,shooter,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.64,15.92,26108800.0
1010,1119,Ghosts 'n Goblins,nes,1986,action,Capcom,0.74,0.26,0.61,0.03,1.64,41.56,68158400.0
1011,1120,Tiger Woods PGA Tour 2003,ps2,2002,sports,Electronic Arts,0.8,0.63,0.0,0.21,1.64,13.45,22057999.999999996
1012,1121,NBA Live 06 (All region sales),ps2,2005,sports,Electronic Arts,1.44,0.15,0.0,0.05,1.64,13.45,22057999.999999996
1013,1122,Prince of Persia: Warrior Within,ps2,2004,action,Ubisoft,0.54,0.88,0.0,0.22,1.64,13.45,22057999.999999996
1014,1123,Kinectimals,x360,2010,simulation,Microsoft Game Studios,1.02,0.48,0.0,0.14,1.64,11.94,19581599.999999996
1015,1124,Until Dawn,ps4,2015,adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64,22.21,36424400.0
1016,1125,ESPN NFL 2K5,xb,2004,sports,Sega,1.54,0.02,0.0,0.07,1.63,9.99,16283700.0
1017,1126,Viva Pinata,x360,2006,simulation,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63,11.94,19462200.0
1018,1127,Pikmin,gc,2001,strategy,Nintendo,0.78,0.25,0.56,0.04,1.63,33.64,54833200.0
1019,1129,Sonic Generations,ps3,2011,platform,Sega,0.6,0.73,0.02,0.28,1.63,14.67,23912100.0
1020,1130,Tiger Woods PGA Tour 2004,ps2,2003,sports,Electronic Arts,1.18,0.34,0.0,0.1,1.63,13.45,21923499.999999996
1021,1131,Ape Escape,ps,1999,platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,15.92,25949599.999999996
1022,1132,NBA 2K15,x360,2014,sports,Take-Two Interactive,1.33,0.14,0.0,0.15,1.63,11.94,19462200.0
1023,1133,NCAA Football 2005,ps2,2004,sports,Electronic Arts,1.32,0.09,0.0,0.22,1.62,13.45,21789000.0
1024,1134,Just Cause 2,x360,2010,action,Square Enix,0.59,0.85,0.02,0.17,1.62,11.94,19342800.0
1025,1136,Tony Hawk's American Wasteland (Old all region sales),ps2,2005,sports,Activision,0.8,0.63,0.01,0.19,1.62,13.45,21789000.0
1026,1137,Rage,x360,2011,shooter,Bethesda Softworks,0.82,0.61,0.03,0.15,1.62,11.94,19342800.0
1027,1138,Mario Hoops 3 on 3,ds,2006,sports,Nintendo,0.99,0.04,0.49,0.1,1.62,12.99,21043800.0
1028,1139,Kirby Air Ride,gc,2003,racing,Nintendo,1.01,0.11,0.45,0.04,1.62,33.64,54496800.00000001
1029,1140,Sled Storm,ps,1998,racing,Electronic Arts,0.9,0.61,0.0,0.11,1.62,15.92,25790400.0
1030,1141,Pokemon Battle Revolution,wii,2006,role-playing,Nintendo,0.8,0.38,0.3,0.13,1.61,10.18,16389800.000000002
1031,1142,NFL Street 2,ps2,2004,sports,Electronic Arts,0.79,0.62,0.0,0.21,1.61,13.45,21654500.0
1032,1143,Gears of War: Judgment,x360,2013,shooter,Microsoft Game Studios,0.92,0.53,0.03,0.13,1.61,11.94,19223400.0
1033,1144,Baseball,gb,1989,sports,Nintendo,0.66,0.27,0.65,0.03,1.61,26.29,42326900.0
1034,1145,Yu-Gi-Oh! Duel Monsters,gb,1998,strategy,Konami Digital Entertainment,0.0,0.0,1.61,0.01,1.61,26.29,42326900.0
1035,1146,Super Mario Strikers,gc,2005,sports,Nintendo,0.98,0.38,0.2,0.04,1.61,33.64,54160400.0
1036,1148,SpongeBob's Atlantis SquarePantis,ds,2007,action,THQ,1.5,0.0,0.0,0.11,1.61,12.99,20913900.0
1037,1149,Far Cry 4,xone,2014,shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61,12.68,20414800.0
1038,1150,Dance Dance Revolution: Hottest Party 2,wii,2008,simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.6,10.18,16288000.0
1039,1152,Dollar Dash,ps2,2005,action,Take-Two Interactive,1.3,0.23,0.0,0.07,1.6,13.45,21520000.0
1040,1153,Far Cry 2,x360,2008,action,Ubisoft,0.71,0.69,0.02,0.18,1.6,11.94,19104000.0
1041,1154,F-1 World Grand Prix,n64,1998,racing,Video System,0.46,0.96,0.09,0.08,1.6,32.69,52304000.0
1042,1155,River Raid,2600,1981,shooter,Activision,1.49,0.09,0.0,0.02,1.6,34.46,55136000.0
1043,1156,Silent Hill,ps,1999,action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,15.92,25472000.0
1044,1157,Dragon Quest V: Hand of the Heavenly Bride,ds,2008,role-playing,Square Enix,0.19,0.02,1.36,0.02,1.6,12.99,20784000.000000004
1045,1158,No Man's Sky,ps4,2016,action,Hello Games,0.58,0.74,0.02,0.26,1.6,22.21,35536000.0
1046,1159,Sonic Heroes,gc,2003,platform,Sega,1.05,0.44,0.06,0.04,1.6,33.64,53824000.00000001
1047,1160,ESPN NBA 2K5,ps2,2004,sports,Global Star,1.26,0.12,0.0,0.21,1.59,13.45,21385500.0
1048,1161,Diablo,pc,1996,role-playing,Activision,0.01,1.58,0.0,0.0,1.59,13.28,21115200.0
1049,1162,The Legend of Zelda: Twilight Princess,gc,2006,action,Nintendo,1.15,0.36,0.04,0.04,1.59,33.64,53487600.0
1050,1163,Soul Edge,ps,1996,fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59,15.92,25312800.000000004
1051,1164,Devil May Cry 4,ps3,2008,action,Capcom,0.58,0.46,0.34,0.21,1.59,14.67,23325300.000000004
1052,1165,Mario Bros.,2600,1982,platform,Atari,1.48,0.09,0.0,0.02,1.59,34.46,54791400.0
1053,1166,Pro Evolution Soccer 2008,ps3,2007,sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,14.67,23325300.000000004
1054,1167,SoulCalibur IV,x360,2008,fighting,Ubisoft,0.92,0.44,0.07,0.15,1.59,11.94,18984600.0
1055,1168,LEGO Harry Potter: Years 1-4,x360,2010,action,Warner Bros. Interactive Entertainment,0.95,0.5,0.0,0.14,1.59,11.94,18984600.0
1056,1169,NASCAR 2000,ps,1999,racing,Electronic Arts,0.88,0.6,0.0,0.1,1.59,15.92,25312800.000000004
1057,1170,Wolfenstein: The New Order,ps4,2014,shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58,22.21,35091800.00000001
1058,1171,Carnival Games: Mini Golf,wii,2008,sports,Take-Two Interactive,0.87,0.56,0.0,0.15,1.58,10.18,16084399.999999998
1059,1173,MySims Kingdom,ds,2008,simulation,Electronic Arts,0.81,0.6,0.01,0.17,1.58,12.99,20524200.0
1060,1175,Need for Speed: Most Wanted,x360,2012,racing,Electronic Arts,0.62,0.8,0.01,0.15,1.58,11.94,18865200.0
1061,1178,Kingdom Hearts 3D: Dream Drop Distance,3ds,2012,action,Square Enix,0.88,0.26,0.34,0.09,1.58,24.34,38457200.0
1062,1179,Hannah Montana: Music Jam,ds,2007,action,Disney Interactive Studios,1.06,0.37,0.0,0.15,1.58,12.99,20524200.0
1063,1180,Pokemon Mystery Dungeon: Explorers of Sky,ds,2009,role-playing,Nintendo,0.58,0.44,0.44,0.12,1.58,12.99,20524200.0
1064,1181,Spyro 2: Season of Flame,gba,2002,platform,Vivendi Games,0.85,0.65,0.0,0.08,1.58,17.94,28345200.000000004
1065,1182,Pro Evolution Soccer 2010,ps2,2009,sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.57,13.45,21116500.0
1066,1183,NCAA Football 2002,ps2,2001,sports,Electronic Arts,0.77,0.6,0.0,0.2,1.57,13.45,21116500.0
1067,1184,Conflict: Desert Storm,ps2,2002,shooter,Gotham Games,0.98,0.53,0.0,0.06,1.57,13.45,21116500.0
1068,1186,Pro Evolution Soccer 2013,ps3,2012,sports,Konami Digital Entertainment,0.18,0.64,0.49,0.25,1.56,14.67,22885200.0
1069,1187,Smuggler's Run,ps2,2000,racing,Take-Two Interactive,0.77,0.6,0.0,0.2,1.56,13.45,20982000.0
1070,1188,Fight Night Round 3,ps2,2006,fighting,Electronic Arts,1.07,0.4,0.0,0.1,1.56,13.45,20982000.0
1071,1189,Donkey Kong Classics,nes,1988,platform,Nintendo,0.59,0.14,0.81,0.02,1.56,41.56,64833600.00000001
1072,1190,Twisted Metal,ps,1995,action,Sony Computer Entertainment,1.32,0.19,0.0,0.05,1.56,15.92,24835200.0
1073,1191,Dark Souls III,ps4,2016,role-playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56,22.21,34647600.00000001
1074,1192,Final Fight,snes,1990,action,Capcom,0.67,0.17,0.69,0.03,1.56,45.28,70636800.00000001
1075,1193,Dragon Quest Monsters 2,gb,2001,role-playing,Enix Corporation,0.0,0.0,1.56,0.0,1.56,26.29,41012400.0
1076,1195,LEGO Marvel Super Heroes,ps4,2013,action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56,22.21,34647600.00000001
1077,1196,Mafia II,x360,2010,action,Take-Two Interactive,0.84,0.56,0.0,0.15,1.55,11.94,18507000.0
1078,1197,Dishonored,ps3,2012,action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55,14.67,22738500.000000004
1079,1198,Stuntman,ps2,2002,racing,Atari,0.76,0.59,0.0,0.2,1.55,13.45,20847500.0
1080,1199,Tom Clancy's Rainbow Six 3,xb,2003,shooter,Ubisoft,0.91,0.57,0.0,0.07,1.55,9.99,15484500.0
1081,1200,Active Life: Outdoor Challenge,wii,2008,sports,Atari,0.79,0.44,0.19,0.14,1.55,10.18,15779000.0
1082,1201,BioShock 2,ps3,2010,shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.55,14.67,22738500.000000004
1083,1202,007: The World is not Enough,n64,2000,action,Electronic Arts,1.13,0.38,0.02,0.03,1.55,32.69,50669500.0
1084,1203,Spider-Man 2: Enter: Electro,ps,2001,action,Activision,0.57,0.87,0.02,0.09,1.55,15.92,24676000.000000004
1085,1204,Watch Dogs,xone,2014,action,Ubisoft,0.9,0.53,0.0,0.13,1.55,12.68,19654000.0
1086,1205,Star Wars: The Force Unleashed II,ps3,2010,action,LucasArts,0.8,0.53,0.0,0.22,1.55,14.67,22738500.000000004
1087,1206,Ni no Kuni: Wrath of the White Witch,ps3,2011,role-playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.55,14.67,22738500.000000004
1088,1207,Command & Conquer: Tiberian Sun,pc,1999,strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55,13.28,20584000.0
1089,1208,LEGO Battles: Ninjago,ds,2011,strategy,Warner Bros. Interactive Entertainment,1.07,0.36,0.0,0.12,1.55,12.99,20134500.0
1090,1210,Dead Rising 3,xone,2013,action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54,12.68,19527200.0
1091,1211,Resident Evil: The Umbrella Chronicles,wii,2007,action,Capcom,0.68,0.43,0.29,0.14,1.54,10.18,15677200.0
1092,1212,Fire Emblem Fates,3ds,2015,role-playing,Nintendo,0.71,0.22,0.52,0.1,1.54,24.34,37483600.0
1093,1213,Dark Cloud,ps2,2000,role-playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54,13.45,20713000.0
1094,1214,Warcraft III: The Frozen Throne,pc,2003,strategy,Activision,0.58,0.87,0.0,0.09,1.54,13.28,20451200.0
1095,1215,Tom Clancy's Ghost Recon Advanced Warfighter,x360,2006,shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54,11.94,18387600.0
1096,1216,Disney Fairies: Tinker Bell,ds,2008,adventure,Disney Interactive Studios,0.86,0.52,0.01,0.15,1.54,12.99,20004600.0
1097,1217,MVP Baseball 2005,ps2,2005,sports,Electronic Arts,1.26,0.07,0.0,0.21,1.54,13.45,20713000.0
1098,1218,Die Hard Trilogy,ps,1996,shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54,15.92,24516800.0
1099,1219,Call of Duty: Black Ops II,pc,2012,shooter,Activision,0.63,0.69,0.0,0.21,1.53,13.28,20318400.0
1100,1220,Fight Night Round 4,ps3,2009,fighting,Electronic Arts,0.92,0.41,0.0,0.21,1.53,14.67,22445100.0
1101,1221,MySims Kingdom,wii,2008,simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53,10.18,15575400.0
1102,1222,The Simpsons Game,ds,2007,action,Electronic Arts,0.57,0.79,0.0,0.17,1.53,12.99,19874700.0
1103,1223,Mortal Kombat 3,snes,1994,fighting,Acclaim Entertainment,1.19,0.29,0.0,0.05,1.53,45.28,69278400.0
1104,1224,NFL GameDay 99,ps,1998,sports,989 Studios,1.44,0.05,0.0,0.04,1.53,15.92,24357600.0
1105,1225,Call of Duty: Modern Warfare: Reflex Edition,wii,2009,shooter,Activision,0.95,0.43,0.0,0.14,1.53,10.18,15575400.0
1106,1226,FIFA 17,xone,2016,sports,Electronic Arts,0.17,1.26,0.0,0.1,1.53,12.68,19400400.0
1107,1227,Mario Golf: Toadstool Tour,gc,2003,sports,Nintendo,1.09,0.15,0.25,0.04,1.53,33.64,51469200.0
1108,1228,Tiger Woods 99 PGA Tour Golf,ps,1997,sports,Electronic Arts,0.85,0.58,0.0,0.1,1.53,15.92,24357600.0
1109,1229,Donkey Kong Country: Tropical Freeze,wiiu,2014,platform,Nintendo,0.73,0.52,0.15,0.12,1.52,19.59,29776800.0
1110,1230,Dead Space 2,x360,2011,shooter,Electronic Arts,0.94,0.45,0.0,0.13,1.52,11.94,18148799.999999996
1111,1231,Sonic Rivals 2,psp,2007,racing,Sega,0.44,0.69,0.0,0.39,1.52,16.18,24593600.0
1112,1232,Knockout Kings,ps,1997,fighting,Electronic Arts,1.07,0.39,0.0,0.06,1.52,15.92,24198400.0
1113,1233,The Simpsons Skateboarding,ps2,2002,sports,Electronic Arts,0.36,0.9,0.0,0.27,1.52,13.45,20444000.0
1114,1234,NASCAR 98,ps,1996,racing,Electronic Arts,1.43,0.05,0.0,0.04,1.52,15.92,24198400.0
1115,1235,F1 Race,nes,1984,racing,Nintendo,0.0,0.0,1.52,0.0,1.52,41.56,63171200.00000001
1116,1236,Xevious,nes,1984,shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52,41.56,63171200.00000001
1117,1237,NASCAR 99,ps,1998,racing,Electronic Arts,1.45,0.04,0.0,0.04,1.52,15.92,24198400.0
1118,1238,NBA Live 2000,ps,1998,sports,Electronic Arts,1.43,0.05,0.0,0.03,1.52,15.92,24198400.0
1119,1239,Mafia II,ps3,2010,action,Take-Two Interactive,0.5,0.72,0.04,0.26,1.52,14.67,22298400.0
1120,1240,Call of Duty 3,ps3,2006,shooter,Activision,0.6,0.63,0.03,0.26,1.52,14.67,22298400.0
1121,1241,Super Monkey Ball 2,gc,2002,puzzle,Atari,1.11,0.31,0.06,0.04,1.52,33.64,51132800.0
1122,1242,Pac-Man World 2,ps2,2002,action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.51,13.45,20309500.0
1123,1243,Madden NFL 15,xone,2014,sports,Electronic Arts,1.3,0.09,0.0,0.12,1.51,12.68,19146800.0
1124,1244,Sonic & Sega All-Stars Racing,wii,2010,racing,Sega,0.65,0.71,0.0,0.15,1.51,10.18,15371800.0
1125,1245,LEGO Star Wars III: The Clone Wars,x360,2011,action,LucasArts,0.84,0.54,0.0,0.13,1.51,11.94,18029400.0
1126,1246,Football Manager 2012,pc,2011,sports,Sega,0.02,1.16,0.0,0.34,1.51,13.28,20052799.999999996
1127,1247,Puzzle & Dragons,3ds,2013,role-playing,GungHo,0.0,0.0,1.51,0.0,1.51,24.34,36753400.0
1128,1248,Mega Man 2,nes,1988,action,Capcom,0.93,0.15,0.42,0.01,1.51,41.56,62755600.0
1129,1249,Simpsons Wrestling,ps,2001,fighting,Electronic Arts,0.23,1.16,0.0,0.11,1.51,15.92,24039200.0
1130,1250,NBA Live 98,ps,1997,sports,Electronic Arts,1.41,0.06,0.0,0.04,1.51,15.92,24039200.0
1131,1251,The Simpsons Game,ps2,2007,action,Electronic Arts,0.35,0.03,0.0,1.13,1.51,13.45,20309500.0
1132,1253,SoulCalibur II,gc,2003,fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5,33.64,50460000.0
1133,1254,Resistance 3,ps3,2011,shooter,Sony Computer Entertainment,0.64,0.58,0.05,0.23,1.5,14.67,22005000.0
1134,1255,Tokyo Xtreme Racer Zero,ps2,2000,racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5,13.45,20174999.999999996
1135,1256,Final Fantasy XIV: A Realm Reborn,pc,2010,role-playing,Square Enix,0.86,0.48,0.0,0.17,1.5,13.28,19920000.0
1136,1257,NFL Blitz,ps,1998,sports,Midway Games,1.41,0.05,0.0,0.04,1.5,15.92,23880000.0
1137,1258,Red Faction II,ps2,2002,shooter,THQ,0.49,0.78,0.0,0.23,1.5,13.45,20174999.999999996
1138,1259,Super Scribblenauts,ds,2010,puzzle,Warner Bros. Interactive Entertainment,1.08,0.31,0.0,0.11,1.5,12.99,19485000.0
1139,1260,Madden NFL 2001,ps2,2000,sports,Electronic Arts,1.19,0.07,0.05,0.2,1.5,13.45,20174999.999999996
1140,1261,WWF No Mercy,n64,2000,fighting,THQ,1.2,0.27,0.02,0.02,1.5,32.69,49035000.0
1141,1262,Ice Climber,nes,1985,platform,Nintendo,0.46,0.1,0.92,0.02,1.5,41.56,62340000.0
1142,1263,Sonic CD,scd,1993,platform,Sega,1.0,0.36,0.09,0.05,1.5,41.67,62505000.0
1143,1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,nes,1986,platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5,41.56,62340000.0
1144,1265,Dead Rising 2,x360,2010,action,Capcom,0.75,0.53,0.09,0.12,1.5,11.94,17910000.0
1145,1267,Pac-Man World,ps,1998,action,Namco Bandai Games,1.21,0.14,0.1,0.04,1.5,15.92,23880000.0
1146,1269,Final Fantasy: Crystal Chronicles,gc,2003,role-playing,Nintendo,0.72,0.38,0.36,0.04,1.49,33.64,50123600.0
1147,1270,Medal of Honor: Frontline,xb,2002,shooter,Electronic Arts,1.0,0.43,0.0,0.06,1.49,9.99,14885100.0
1148,1271,Madden NFL 09,ps2,2008,sports,Electronic Arts,1.22,0.0,0.0,0.27,1.49,13.45,20040499.999999996
1149,1272,Drawn To Life: SpongeBob SquarePants Edition,ds,2008,adventure,THQ,1.0,0.36,0.0,0.13,1.49,12.99,19355100.0
1150,1273,Banjo-Tooie,n64,2000,platform,Nintendo,0.82,0.36,0.25,0.06,1.49,32.69,48708099.99999999
1151,1275,007: Quantum of Solace,x360,2008,action,Activision,0.82,0.52,0.01,0.14,1.49,11.94,17790599.999999996
1152,1276,The Sims 3,wii,2010,simulation,Electronic Arts,0.61,0.73,0.0,0.15,1.49,10.18,15168199.999999998
1153,1277,New Play Control! Mario Power Tennis,wii,2009,sports,Nintendo,0.37,0.69,0.28,0.14,1.48,10.18,15066400.0
1154,1278,Bratz: Forever Diamondz,ds,2006,adventure,THQ,0.43,0.88,0.0,0.18,1.48,12.99,19225200.0
1155,1279,Dirge of Cerberus: Final Fantasy VII,ps2,2006,shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,13.45,19906000.0
1156,1280,Nintendo World Cup,nes,1990,sports,Nintendo,0.28,0.5,0.65,0.05,1.48,41.56,61508800.0
1157,1281,WWF WrestleMania 2000,n64,1999,fighting,THQ,1.2,0.25,0.02,0.02,1.48,32.69,48381199.99999999
1158,1282,Wario Land II,gb,1997,platform,Nintendo,0.7,0.35,0.39,0.04,1.48,26.29,38909200.0
1159,1283,Mass Effect 2,ps3,2011,role-playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48,14.67,21711600.0
1160,1284,Major League Baseball 2K5,ps2,2005,sports,Take-Two Interactive,0.72,0.56,0.0,0.19,1.48,13.45,19906000.0
1161,1285,Fight Night 2004,ps2,2004,fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,13.45,19906000.0
1162,1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,xb,2004,action,Ubisoft,0.82,0.59,0.0,0.07,1.48,9.99,14785200.0
1163,1287,Imagine: Master Chef,ds,2007,simulation,Ubisoft,0.39,0.92,0.0,0.17,1.47,12.99,19095300.0
1164,1288,Assassin's Creed III: Liberation,psv,2012,action,Ubisoft,0.58,0.55,0.06,0.28,1.47,46.26,68002200.0
1165,1289,SoulCalibur IV,ps3,2008,fighting,Ubisoft,0.72,0.41,0.14,0.2,1.47,14.67,21564899.999999996
1166,1290,Mario Golf,n64,1999,action,Nintendo,0.62,0.18,0.65,0.02,1.47,32.69,48054300.0
1167,1291,Disney Princess,gba,2003,platform,THQ,1.04,0.37,0.0,0.06,1.47,17.94,26371800.0
1168,1292,Fight Night Round 3,x360,2006,fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,11.94,17551800.0
1169,1293,Metal Gear Rising: Revengeance,ps3,2013,action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47,14.67,21564899.999999996
1170,1294,Chrono Trigger,ds,2008,role-playing,Square Enix,0.69,0.2,0.49,0.09,1.47,12.99,19095300.0
1171,1295,Star Wars: The Force Unleashed II,x360,2010,action,LucasArts,0.95,0.4,0.0,0.12,1.47,11.94,17551800.0
1172,1296,The House of the Dead 2 & 3 Return,wii,2008,shooter,Sega,0.78,0.5,0.03,0.15,1.47,10.18,14964599.999999998
